op,dtype,family,contig_Melem_per_s,strided_scalar_Melem_per_s,simd_vs_scalar
logical_and,bool,bool,11346.8,752.4,15.080
logical_not,bool,bool,11875.2,1179.6,10.070
arccos,float16,float16,44.1,44.1,1.000
arccosh,float16,float16,29.1,29.1,1.000
arcsin,float16,float16,47.8,47.9,1.000
arcsinh,float16,float16,261.2,21.1,12.380
arctan,float16,float16,38.3,38.3,1.000
arctanh,float16,float16,453.9,24.0,18.920
cbrt,float16,float16,145.7,36.1,4.040
cos,float16,float16,662.0,51.5,12.850
cosh,float16,float16,46.2,45.9,1.010
exp,float16,float16,73.6,73.6,1.000
exp2,float16,float16,78.0,78.0,1.000
expm1,float16,float16,35.7,35.7,1.000
log,float16,float16,442.1,67.8,6.520
log10,float16,float16,421.8,43.1,9.780
log1p,float16,float16,392.4,36.1,10.870
log2,float16,float16,422.7,67.6,6.250
sin,float16,float16,689.3,52.4,13.150
sinh,float16,float16,21.1,21.1,1.000
tan,float16,float16,28.9,28.9,1.000
tanh,float16,float16,20.7,20.6,1.000
add,f32,float32,2688.6,850.9,3.160
arccos,f32,float32,84.8,85.3,0.990
arccosh,f32,float32,54.8,54.6,1.000
arcsin,f32,float32,194.1,95.2,2.040
arcsinh,f32,float32,31.0,30.9,1.000
arctan,f32,float32,573.1,64.0,8.950
arctan2,f32,float32,205.7,42.5,4.840
arctanh,f32,float32,35.2,35.2,1.000
cbrt,f32,float32,52.6,52.5,1.000
cos,f32,float32,410.5,232.6,1.760
cosh,f32,float32,87.2,86.9,1.000
divide,f32,float32,2271.4,863.8,2.630
exp,f32,float32,237.9,235.6,1.010
exp2,f32,float32,249.4,246.7,1.010
expm1,f32,float32,70.8,70.6,1.000
log,f32,float32,207.0,205.4,1.010
log10,f32,float32,86.4,86.3,1.000
log1p,f32,float32,64.8,64.7,1.000
log2,f32,float32,208.3,207.0,1.010
multiply,f32,float32,2698.1,851.1,3.170
power,f32,float32,80.9,80.6,1.000
sin,f32,float32,423.4,236.6,1.790
sinh,f32,float32,25.8,25.7,1.000
sort,f32,float32,74.9,,
subtract,f32,float32,2690.1,856.1,3.140
tan,f32,float32,38.9,38.9,1.000
tanh,f32,float32,319.0,165.9,1.920
add,f64,float64,621.7,506.3,1.230
arccos,f64,float64,68.3,68.2,1.000
arccosh,f64,float64,24.6,24.5,1.000
arcsin,f64,float64,68.1,67.9,1.000
arcsinh,f64,float64,25.8,25.8,1.000
arctan,f64,float64,207.5,45.6,4.550
arctan2,f64,float64,80.5,24.5,3.280
arctanh,f64,float64,33.1,33.0,1.000
cbrt,f64,float64,136.7,42.5,3.220
cos,f64,float64,68.1,68.1,1.000
cosh,f64,float64,46.4,46.4,1.000
divide,f64,float64,623.2,508.3,1.230
exp,f64,float64,71.3,71.5,1.000
exp2,f64,float64,20.2,20.2,1.000
expm1,f64,float64,68.1,67.9,1.000
log,f64,float64,54.4,54.5,1.000
log10,f64,float64,37.0,37.0,1.000
log1p,f64,float64,262.8,63.4,4.140
log2,f64,float64,52.7,52.8,1.000
multiply,f64,float64,611.8,504.4,1.210
power,f64,float64,17.6,17.5,1.000
sin,f64,float64,68.5,68.6,1.000
sinh,f64,float64,24.0,24.0,1.000
sort,f64,float64,36.8,,
subtract,f64,float64,619.6,508.6,1.220
tan,f64,float64,24.4,24.3,1.000
tanh,f64,float64,54.8,43.7,1.250
add,i16,integer,5314.9,991.5,5.360
add,i32,integer,2279.1,798.2,2.860
add,i64,integer,833.0,532.7,1.560
add,int8,integer,10877.6,995.8,10.920
add,uint16,integer,5798.2,993.6,5.840
add,uint32,integer,2288.6,835.8,2.740
add,uint64,integer,827.1,529.7,1.560
add,uint8,integer,9754.8,995.1,9.800
argmax,i16,integer,10913.8,,
argmax,i32,integer,5582.0,,
argmax,i64,integer,2950.6,,
argmax,int8,integer,20194.9,,
argmax,uint16,integer,10867.4,,
argmax,uint32,integer,5602.2,,
argmax,uint64,integer,2871.0,,
argmax,uint8,integer,20233.2,,
floor_divide,i16,integer,1827.1,168.4,10.850
floor_divide,i32,integer,1114.8,160.6,6.940
floor_divide,i64,integer,107.7,107.8,1.000
floor_divide,int8,integer,2675.7,163.9,16.330
floor_divide,uint16,integer,1744.9,286.1,6.100
floor_divide,uint32,integer,1117.4,190.1,5.880
floor_divide,uint64,integer,189.0,189.8,1.000
floor_divide,uint8,integer,2425.8,409.0,5.930
less,i16,integer,6924.5,995.2,6.960
less,i32,integer,3023.2,912.2,3.310
less,i64,integer,1052.0,626.9,1.680
less,int8,integer,12356.0,995.8,12.410
less,uint16,integer,6954.2,995.3,6.990
less,uint32,integer,2837.7,865.6,3.280
less,uint64,integer,1185.8,632.0,1.880
less,uint8,integer,12416.8,995.6,12.470
max,i16,integer,15773.6,,
max,i32,integer,7900.4,,
max,i64,integer,4186.0,,
max,int8,integer,28317.1,,
max,uint16,integer,15848.4,,
max,uint32,integer,8371.3,,
max,uint64,integer,4186.3,,
max,uint8,integer,28468.1,,
mod,i16,integer,1641.7,168.0,9.770
mod,i32,integer,1052.7,155.4,6.770
mod,i64,integer,527.0,102.6,5.140
mod,int8,integer,2475.5,149.8,16.520
mod,uint16,integer,1579.5,286.1,5.520
mod,uint32,integer,1041.3,190.0,5.480
mod,uint64,integer,747.4,189.8,3.940
mod,uint8,integer,2125.5,408.9,5.200
multiply,i16,integer,5805.0,991.0,5.860
multiply,i32,integer,2170.5,817.4,2.660
multiply,i64,integer,841.8,528.6,1.590
multiply,int8,integer,11370.3,995.6,11.420
multiply,uint16,integer,5809.5,993.7,5.850
multiply,uint32,integer,2217.8,834.3,2.660
multiply,uint64,integer,865.3,525.2,1.650
multiply,uint8,integer,9778.5,995.6,9.820
sort,i16,integer,93.6,,
sort,i32,integer,80.3,,
sort,i64,integer,41.8,,
