op,dtype,family,contig_Melem_per_s,strided_scalar_Melem_per_s,simd_vs_scalar
logical_and,bool,bool,1044.5,913.4,1.140
logical_not,bool,bool,1866.3,1247.3,1.500
arccos,float16,float16,44.1,44.1,1.000
arccosh,float16,float16,29.1,29.1,1.000
arcsin,float16,float16,47.9,47.9,1.000
arcsinh,float16,float16,21.1,21.1,1.000
arctan,float16,float16,38.3,38.3,1.000
arctanh,float16,float16,24.0,24.0,1.000
cbrt,float16,float16,36.1,36.1,1.000
cos,float16,float16,51.4,51.4,1.000
cosh,float16,float16,46.2,46.2,1.000
exp,float16,float16,73.6,73.6,1.000
exp2,float16,float16,78.0,78.0,1.000
expm1,float16,float16,35.7,35.7,1.000
log,float16,float16,68.0,67.8,1.000
log10,float16,float16,43.2,43.1,1.000
log1p,float16,float16,36.1,36.1,1.000
log2,float16,float16,67.8,67.7,1.000
sin,float16,float16,52.4,52.4,1.000
sinh,float16,float16,21.1,21.1,1.000
tan,float16,float16,28.9,28.9,1.000
tanh,float16,float16,20.7,20.7,1.000
add,f32,float32,2745.1,863.4,3.180
arccos,f32,float32,84.9,86.2,0.980
arccosh,f32,float32,54.8,54.6,1.000
arcsin,f32,float32,95.9,95.4,1.010
arcsinh,f32,float32,31.0,30.7,1.010
arctan,f32,float32,64.2,64.1,1.000
arctan2,f32,float32,43.5,43.2,1.010
arctanh,f32,float32,35.3,35.3,1.000
cbrt,f32,float32,52.6,52.5,1.000
cos,f32,float32,78.1,78.0,1.000
cosh,f32,float32,87.2,87.1,1.000
divide,f32,float32,1203.3,851.5,1.410
exp,f32,float32,236.8,236.5,1.000
exp2,f32,float32,249.3,248.3,1.000
expm1,f32,float32,70.8,70.7,1.000
log,f32,float32,207.1,206.7,1.000
log10,f32,float32,86.5,86.3,1.000
log1p,f32,float32,64.8,64.8,1.000
log2,f32,float32,208.5,208.7,1.000
multiply,f32,float32,2742.2,857.3,3.200
power,f32,float32,81.1,80.6,1.010
sin,f32,float32,77.4,77.4,1.000
sinh,f32,float32,25.7,25.7,1.000
sort,f32,float32,11.0,,
subtract,f32,float32,2748.7,865.2,3.180
tan,f32,float32,38.9,38.9,1.000
tanh,f32,float32,26.5,26.6,1.000
add,f64,float64,872.9,515.9,1.690
arccos,f64,float64,68.2,68.1,1.000
arccosh,f64,float64,24.5,24.5,1.000
arcsin,f64,float64,68.0,68.0,1.000
arcsinh,f64,float64,25.8,25.7,1.000
arctan,f64,float64,45.4,45.5,1.000
arctan2,f64,float64,24.6,24.5,1.000
arctanh,f64,float64,33.1,32.9,1.000
cbrt,f64,float64,42.8,42.9,1.000
cos,f64,float64,67.9,67.9,1.000
cosh,f64,float64,46.3,46.3,1.000
divide,f64,float64,869.8,546.0,1.590
exp,f64,float64,71.4,71.4,1.000
exp2,f64,float64,20.2,20.2,1.000
expm1,f64,float64,68.0,67.8,1.000
log,f64,float64,54.5,54.5,1.000
log10,f64,float64,37.0,37.0,1.000
log1p,f64,float64,63.4,63.5,1.000
log2,f64,float64,52.6,52.8,1.000
multiply,f64,float64,908.1,526.7,1.720
power,f64,float64,17.5,17.5,1.000
sin,f64,float64,68.5,68.6,1.000
sinh,f64,float64,24.0,24.0,1.000
sort,f64,float64,11.0,,
subtract,f64,float64,801.7,511.6,1.570
tan,f64,float64,24.4,24.3,1.000
tanh,f64,float64,24.0,24.0,1.000
add,i16,integer,5313.4,995.3,5.340
add,i32,integer,2387.1,834.5,2.860
add,i64,integer,654.8,523.7,1.250
add,int8,integer,10797.3,991.4,10.890
add,uint16,integer,5343.7,995.4,5.370
add,uint32,integer,2370.7,852.9,2.780
add,uint64,integer,669.4,533.8,1.250
add,uint8,integer,10022.7,996.3,10.060
argmax,i16,integer,10209.6,,
argmax,i32,integer,5555.7,,
argmax,i64,integer,2843.3,,
argmax,int8,integer,20322.6,,
argmax,uint16,integer,10268.4,,
argmax,uint32,integer,4453.6,,
argmax,uint64,integer,2855.5,,
argmax,uint8,integer,20382.8,,
floor_divide,i16,integer,157.7,157.8,1.000
floor_divide,i32,integer,165.3,164.0,1.010
floor_divide,i64,integer,107.6,107.8,1.000
floor_divide,int8,integer,163.5,164.1,1.000
floor_divide,uint16,integer,286.2,286.2,1.000
floor_divide,uint32,integer,189.9,190.0,1.000
floor_divide,uint64,integer,189.3,189.8,1.000
floor_divide,uint8,integer,408.9,409.1,1.000
less,i16,integer,6966.0,996.0,6.990
less,i32,integer,2974.2,901.5,3.300
less,i64,integer,1075.3,627.2,1.710
less,int8,integer,12477.6,996.5,12.520
less,uint16,integer,6977.1,995.0,7.010
less,uint32,integer,2414.8,880.9,2.740
less,uint64,integer,1092.5,636.0,1.720
less,uint8,integer,12436.0,993.5,12.520
max,i16,integer,12118.1,,
max,i32,integer,5678.7,,
max,i64,integer,3055.5,,
max,int8,integer,22190.1,,
max,uint16,integer,12180.8,,
max,uint32,integer,4195.1,,
max,uint64,integer,2986.7,,
max,uint8,integer,22279.8,,
