op,dtype,family,stock_Melem_per_s,dragon_Melem_per_s,speedup
logical_and,bool,bool,1044.5,11346.8,10.863
logical_not,bool,bool,1866.3,11875.2,6.363
arccos,float16,float16,44.1,44.1,1.000
arccosh,float16,float16,29.1,29.1,1.000
arcsin,float16,float16,47.9,47.8,0.998
arcsinh,float16,float16,21.1,261.2,12.379
arctan,float16,float16,38.3,38.3,1.000
arctanh,float16,float16,24.0,453.9,18.912
cbrt,float16,float16,36.1,145.7,4.036
cos,float16,float16,51.4,662.0,12.879
cosh,float16,float16,46.2,46.2,1.000
exp,float16,float16,73.6,73.6,1.000
exp2,float16,float16,78.0,78.0,1.000
expm1,float16,float16,35.7,35.7,1.000
log,float16,float16,68.0,442.1,6.501
log10,float16,float16,43.2,421.8,9.764
log1p,float16,float16,36.1,392.4,10.870
log2,float16,float16,67.8,422.7,6.235
sin,float16,float16,52.4,689.3,13.155
sinh,float16,float16,21.1,21.1,1.000
tan,float16,float16,28.9,28.9,1.000
tanh,float16,float16,20.7,20.7,1.000
add,f32,float32,2745.1,2688.6,0.979
arccos,f32,float32,84.9,84.8,0.999
arccosh,f32,float32,54.8,54.8,1.000
arcsin,f32,float32,95.9,194.1,2.024
arcsinh,f32,float32,31.0,31.0,1.000
arctan,f32,float32,64.2,573.1,8.927
arctan2,f32,float32,43.5,205.7,4.729
arctanh,f32,float32,35.3,35.2,0.997
cbrt,f32,float32,52.6,52.6,1.000
cos,f32,float32,78.1,410.5,5.256
cosh,f32,float32,87.2,87.2,1.000
divide,f32,float32,1203.3,2271.4,1.888
exp,f32,float32,236.8,237.9,1.005
exp2,f32,float32,249.3,249.4,1.000
expm1,f32,float32,70.8,70.8,1.000
log,f32,float32,207.1,207.0,1.000
log10,f32,float32,86.5,86.4,0.999
log1p,f32,float32,64.8,64.8,1.000
log2,f32,float32,208.5,208.3,0.999
multiply,f32,float32,2742.2,2698.1,0.984
power,f32,float32,81.1,80.9,0.998
sin,f32,float32,77.4,423.4,5.470
sinh,f32,float32,25.7,25.8,1.004
sort,f32,float32,11.0,74.9,6.809
subtract,f32,float32,2748.7,2690.1,0.979
tan,f32,float32,38.9,38.9,1.000
tanh,f32,float32,26.5,319.0,12.038
add,f64,float64,872.9,621.7,0.712
arccos,f64,float64,68.2,68.3,1.001
arccosh,f64,float64,24.5,24.6,1.004
arcsin,f64,float64,68.0,68.1,1.001
arcsinh,f64,float64,25.8,25.8,1.000
arctan,f64,float64,45.4,207.5,4.570
arctan2,f64,float64,24.6,80.5,3.272
arctanh,f64,float64,33.1,33.1,1.000
cbrt,f64,float64,42.8,136.7,3.194
cos,f64,float64,67.9,68.1,1.003
cosh,f64,float64,46.3,46.4,1.002
divide,f64,float64,869.8,623.2,0.716
exp,f64,float64,71.4,71.3,0.999
exp2,f64,float64,20.2,20.2,1.000
expm1,f64,float64,68.0,68.1,1.001
log,f64,float64,54.5,54.4,0.998
log10,f64,float64,37.0,37.0,1.000
log1p,f64,float64,63.4,262.8,4.145
log2,f64,float64,52.6,52.7,1.002
multiply,f64,float64,908.1,611.8,0.674
power,f64,float64,17.5,17.6,1.006
sin,f64,float64,68.5,68.5,1.000
sinh,f64,float64,24.0,24.0,1.000
sort,f64,float64,11.0,36.8,3.345
subtract,f64,float64,801.7,619.6,0.773
tan,f64,float64,24.4,24.4,1.000
tanh,f64,float64,24.0,54.8,2.283
