op,dtype,family,contig_Melem_per_s,strided_scalar_Melem_per_s,simd_vs_scalar
logical_and,bool,bool,15430.6,740.7,20.830
logical_not,bool,bool,16565.2,1178.2,14.060
arccos,float16,float16,245.7,44.0,5.590
arccosh,float16,float16,245.7,29.1,8.450
arcsin,float16,float16,252.8,47.7,5.300
arcsinh,float16,float16,310.7,21.1,14.760
arctan,float16,float16,506.2,38.2,13.240
arctanh,float16,float16,376.2,23.9,15.720
cbrt,float16,float16,193.1,36.0,5.360
cos,float16,float16,490.9,51.3,9.560
cosh,float16,float16,363.4,46.1,7.880
exp,float16,float16,750.1,73.4,10.220
exp2,float16,float16,438.3,77.9,5.620
expm1,float16,float16,641.9,35.6,18.030
log,float16,float16,671.4,67.8,9.910
log10,float16,float16,635.6,43.1,14.760
log1p,float16,float16,379.6,36.0,10.530
log2,float16,float16,635.9,67.3,9.450
sin,float16,float16,558.1,52.2,10.690
sinh,float16,float16,399.0,21.0,18.980
tan,float16,float16,469.5,28.9,16.270
tanh,float16,float16,538.4,20.6,26.110
add,f32,float32,2337.7,872.9,2.680
arccos,f32,float32,191.4,85.9,2.230
arccosh,f32,float32,239.2,54.6,4.380
arcsin,f32,float32,198.0,95.3,2.080
arcsinh,f32,float32,142.1,30.4,4.670
arctan,f32,float32,592.8,63.8,9.280
arctan2,f32,float32,253.0,42.4,5.970
arctanh,f32,float32,273.9,35.2,7.780
cbrt,f32,float32,552.9,49.7,11.120
cos,f32,float32,444.2,240.8,1.840
cosh,f32,float32,395.1,87.0,4.540
divide,f32,float32,2333.8,840.1,2.780
exp,f32,float32,782.6,235.1,3.330
exp2,f32,float32,727.9,248.2,2.930
expm1,f32,float32,652.6,70.6,9.250
log,f32,float32,774.1,205.1,3.770
log10,f32,float32,730.9,85.8,8.520
log1p,f32,float32,560.4,64.6,8.680
log2,f32,float32,731.3,208.0,3.520
multiply,f32,float32,2340.0,834.6,2.800
power,f32,float32,177.6,80.5,2.210
sin,f32,float32,443.3,239.5,1.850
sinh,f32,float32,394.2,25.6,15.370
sort,f32,float32,71.6,,
subtract,f32,float32,2333.9,817.1,2.860
tan,f32,float32,824.7,38.5,21.410
tanh,f32,float32,344.8,174.3,1.980
add,f64,float64,882.9,510.2,1.730
arccos,f64,float64,274.3,67.8,4.040
arccosh,f64,float64,73.4,24.4,3.010
arcsin,f64,float64,280.7,67.5,4.160
arcsinh,f64,float64,49.7,24.5,2.020
arctan,f64,float64,203.6,45.3,4.490
arctan2,f64,float64,87.3,24.4,3.570
arctanh,f64,float64,486.6,32.8,14.830
cbrt,f64,float64,137.5,42.4,3.240
cos,f64,float64,236.4,67.3,3.510
cosh,f64,float64,114.6,46.1,2.480
divide,f64,float64,831.0,499.8,1.660
exp,f64,float64,336.8,71.0,4.740
exp2,f64,float64,295.8,20.1,14.680
expm1,f64,float64,238.1,67.2,3.540
log,f64,float64,240.4,54.3,4.430
log10,f64,float64,226.8,36.8,6.160
log1p,f64,float64,237.5,63.0,3.770
log2,f64,float64,225.2,52.2,4.310
multiply,f64,float64,894.3,510.5,1.750
power,f64,float64,62.3,17.5,3.570
sin,f64,float64,237.8,68.5,3.470
sinh,f64,float64,114.5,23.9,4.790
sort,f64,float64,35.5,,
subtract,f64,float64,912.0,513.2,1.780
tan,f64,float64,249.2,24.0,10.370
tanh,f64,float64,137.7,23.9,5.750
add,i16,integer,4713.0,980.4,4.810
add,i32,integer,2158.8,805.7,2.680
add,i64,integer,831.9,493.1,1.690
add,int8,integer,11374.6,994.4,11.440
add,uint16,integer,5460.0,980.2,5.570
add,uint32,integer,2406.4,792.3,3.040
add,uint64,integer,722.0,503.4,1.430
add,uint8,integer,9792.3,994.9,9.840
argmax,i16,integer,10143.1,,
argmax,i32,integer,5604.6,,
argmax,i64,integer,2870.6,,
