op,dtype,family,contig_Melem_per_s,strided_scalar_Melem_per_s,simd_vs_scalar
logical_and,bool,bool,1044.5,909.3,1.150
logical_not,bool,bool,1873.6,1259.1,1.490
arccos,float16,float16,44.0,44.0,1.000
arccosh,float16,float16,29.1,29.1,1.000
arcsin,float16,float16,47.8,47.8,1.000
arcsinh,float16,float16,21.1,21.0,1.000
arctan,float16,float16,38.2,38.3,1.000
arctanh,float16,float16,23.9,23.9,1.000
cbrt,float16,float16,36.0,36.0,1.000
cos,float16,float16,51.2,51.3,1.000
cosh,float16,float16,46.1,46.2,1.000
exp,float16,float16,73.4,73.5,1.000
exp2,float16,float16,77.7,78.0,1.000
expm1,float16,float16,35.6,35.6,1.000
log,float16,float16,67.9,67.6,1.000
log10,float16,float16,43.1,43.1,1.000
log1p,float16,float16,36.0,36.0,1.000
log2,float16,float16,67.6,67.4,1.000
sin,float16,float16,52.2,52.3,1.000
sinh,float16,float16,21.0,21.0,1.000
tan,float16,float16,28.8,28.8,1.000
tanh,float16,float16,20.6,20.6,1.000
add,f32,float32,2890.7,805.4,3.590
arccos,f32,float32,84.7,85.3,0.990
arccosh,f32,float32,54.7,54.4,1.000
arcsin,f32,float32,95.3,95.2,1.000
arcsinh,f32,float32,30.9,30.9,1.000
arctan,f32,float32,64.0,64.0,1.000
arctan2,f32,float32,43.4,43.1,1.010
arctanh,f32,float32,35.1,35.1,1.000
cbrt,f32,float32,52.5,52.3,1.000
cos,f32,float32,77.9,77.3,1.010
cosh,f32,float32,86.7,86.7,1.000
divide,f32,float32,1213.0,802.7,1.510
exp,f32,float32,235.6,226.6,1.040
exp2,f32,float32,248.0,245.6,1.010
expm1,f32,float32,70.6,70.4,1.000
log,f32,float32,205.6,202.6,1.010
log10,f32,float32,86.0,86.0,1.000
log1p,f32,float32,64.6,64.5,1.000
log2,f32,float32,208.3,206.5,1.010
multiply,f32,float32,2906.2,796.2,3.650
power,f32,float32,80.5,80.5,1.000
sin,f32,float32,77.1,77.0,1.000
sinh,f32,float32,25.7,25.6,1.000
sort,f32,float32,11.0,,
subtract,f32,float32,2894.3,801.0,3.610
tan,f32,float32,38.7,38.8,1.000
tanh,f32,float32,26.5,26.4,1.010
add,f64,float64,777.0,477.9,1.630
arccos,f64,float64,68.0,67.9,1.000
arccosh,f64,float64,24.5,24.4,1.000
arcsin,f64,float64,67.9,67.6,1.000
arcsinh,f64,float64,25.7,25.7,1.000
arctan,f64,float64,45.3,45.3,1.000
arctan2,f64,float64,24.4,24.4,1.000
arctanh,f64,float64,33.0,32.9,1.000
cbrt,f64,float64,42.8,42.7,1.000
cos,f64,float64,67.4,67.2,1.000
cosh,f64,float64,46.2,46.1,1.000
divide,f64,float64,802.8,504.7,1.590
exp,f64,float64,71.1,70.7,1.010
exp2,f64,float64,20.2,20.1,1.000
expm1,f64,float64,67.8,67.5,1.000
log,f64,float64,54.0,53.9,1.000
log10,f64,float64,36.8,36.8,1.000
log1p,f64,float64,63.3,63.2,1.000
log2,f64,float64,52.5,52.2,1.010
multiply,f64,float64,822.0,492.0,1.670
power,f64,float64,17.6,17.4,1.010
sin,f64,float64,68.2,68.2,1.000
sinh,f64,float64,23.9,23.9,1.000
sort,f64,float64,11.0,,
subtract,f64,float64,831.8,493.1,1.690
tan,f64,float64,24.4,24.3,1.010
tanh,f64,float64,23.9,23.9,1.000
add,i16,integer,5464.9,977.9,5.590
add,i32,integer,2193.4,775.1,2.830
add,i64,integer,647.9,513.0,1.260
add,int8,integer,10605.8,993.6,10.670
add,uint16,integer,5443.8,990.7,5.490
add,uint32,integer,2304.5,800.1,2.880
add,uint64,integer,685.0,500.6,1.370
add,uint8,integer,9996.0,995.4,10.040
argmax,i16,integer,11207.8,,
argmax,i32,integer,5643.1,,
argmax,i64,integer,2841.3,,
argmax,int8,integer,19858.7,,
