op,dtype,family,stock_Melem_per_s,dragon_Melem_per_s,speedup
logical_and,bool,bool,1044.5,15430.6,14.773
logical_not,bool,bool,1873.6,16565.2,8.841
arccos,float16,float16,44.0,245.7,5.584
arccosh,float16,float16,29.1,245.7,8.443
arcsin,float16,float16,47.8,252.8,5.289
arcsinh,float16,float16,21.1,310.7,14.725
arctan,float16,float16,38.2,506.2,13.251
arctanh,float16,float16,23.9,376.2,15.741
cbrt,float16,float16,36.0,193.1,5.364
cos,float16,float16,51.2,490.9,9.588
cosh,float16,float16,46.1,363.4,7.883
exp,float16,float16,73.4,750.1,10.219
exp2,float16,float16,77.7,438.3,5.641
expm1,float16,float16,35.6,641.9,18.031
log,float16,float16,67.9,671.4,9.888
log10,float16,float16,43.1,635.6,14.747
log1p,float16,float16,36.0,379.6,10.544
log2,float16,float16,67.6,635.9,9.407
sin,float16,float16,52.2,558.1,10.692
sinh,float16,float16,21.0,399.0,19.000
tan,float16,float16,28.8,469.5,16.302
tanh,float16,float16,20.6,538.4,26.136
add,f32,float32,2890.7,2337.7,0.809
arccos,f32,float32,84.7,191.4,2.260
arccosh,f32,float32,54.7,239.2,4.373
arcsin,f32,float32,95.3,198.0,2.078
arcsinh,f32,float32,30.9,142.1,4.599
arctan,f32,float32,64.0,592.8,9.262
arctan2,f32,float32,43.4,253.0,5.829
arctanh,f32,float32,35.1,273.9,7.803
cbrt,f32,float32,52.5,552.9,10.531
cos,f32,float32,77.9,444.2,5.702
cosh,f32,float32,86.7,395.1,4.557
divide,f32,float32,1213.0,2333.8,1.924
exp,f32,float32,235.6,782.6,3.322
exp2,f32,float32,248.0,727.9,2.935
expm1,f32,float32,70.6,652.6,9.244
log,f32,float32,205.6,774.1,3.765
log10,f32,float32,86.0,730.9,8.499
log1p,f32,float32,64.6,560.4,8.675
log2,f32,float32,208.3,731.3,3.511
multiply,f32,float32,2906.2,2340.0,0.805
power,f32,float32,80.5,177.6,2.206
sin,f32,float32,77.1,443.3,5.750
sinh,f32,float32,25.7,394.2,15.339
sort,f32,float32,11.0,71.6,6.509
subtract,f32,float32,2894.3,2333.9,0.806
tan,f32,float32,38.7,824.7,21.310
tanh,f32,float32,26.5,344.8,13.011
add,f64,float64,777.0,882.9,1.136
arccos,f64,float64,68.0,274.3,4.034
arccosh,f64,float64,24.5,73.4,2.996
arcsin,f64,float64,67.9,280.7,4.134
arcsinh,f64,float64,25.7,49.7,1.934
arctan,f64,float64,45.3,203.6,4.494
arctan2,f64,float64,24.4,87.3,3.578
arctanh,f64,float64,33.0,486.6,14.745
cbrt,f64,float64,42.8,137.5,3.213
cos,f64,float64,67.4,236.4,3.507
cosh,f64,float64,46.2,114.6,2.481
divide,f64,float64,802.8,831.0,1.035
exp,f64,float64,71.1,336.8,4.737
exp2,f64,float64,20.2,295.8,14.644
expm1,f64,float64,67.8,238.1,3.512
log,f64,float64,54.0,240.4,4.452
log10,f64,float64,36.8,226.8,6.163
log1p,f64,float64,63.3,237.5,3.752
log2,f64,float64,52.5,225.2,4.290
multiply,f64,float64,822.0,894.3,1.088
power,f64,float64,17.6,62.3,3.540
sin,f64,float64,68.2,237.8,3.487
sinh,f64,float64,23.9,114.5,4.791
sort,f64,float64,11.0,35.5,3.227
subtract,f64,float64,831.8,912.0,1.096
tan,f64,float64,24.4,249.2,10.213
tanh,f64,float64,23.9,137.7,5.762
add,i16,integer,5464.9,4713.0,0.862
add,i32,integer,2193.4,2158.8,0.984
add,i64,integer,647.9,831.9,1.284
add,int8,integer,10605.8,11374.6,1.072
add,uint16,integer,5443.8,5460.0,1.003
add,uint32,integer,2304.5,2406.4,1.044
add,uint64,integer,685.0,722.0,1.054
add,uint8,integer,9996.0,9792.3,0.980
argmax,i16,integer,11207.8,10143.1,0.905
argmax,i32,integer,5643.1,5604.6,0.993
argmax,i64,integer,2841.3,2870.6,1.010
argmax,int8,integer,19858.7,20407.9,1.028
argmax,uint16,integer,11320.3,10129.8,0.895
argmax,uint32,integer,5809.6,5622.2,0.968
argmax,uint64,integer,2921.6,2771.9,0.949
argmax,uint8,integer,19632.1,20097.5,1.024
floor_divide,i16,integer,157.6,1828.7,11.603
floor_divide,i32,integer,165.1,1104.3,6.689
floor_divide,i64,integer,107.7,107.6,0.999
floor_divide,int8,integer,160.0,2674.3,16.714
floor_divide,uint16,integer,286.1,1750.1,6.117
floor_divide,uint32,integer,190.5,1151.0,6.042
floor_divide,uint64,integer,188.7,189.0,1.002
floor_divide,uint8,integer,408.5,2423.4,5.932
less,i16,integer,6939.1,6603.1,0.952
less,i32,integer,2803.8,3003.3,1.071
less,i64,integer,1022.3,1076.6,1.053
less,int8,integer,12356.9,12443.5,1.007
less,uint16,integer,6988.9,6971.7,0.998
less,uint32,integer,2909.9,3094.4,1.063
less,uint64,integer,1025.6,994.8,0.970
less,uint8,integer,12439.3,12399.6,0.997
max,i16,integer,12133.5,15495.4,1.277
max,i32,integer,5896.6,7661.2,1.299
max,i64,integer,3077.3,4158.1,1.351
max,int8,integer,22312.3,28101.0,1.259
